MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924811,0.1570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,284.2980000,0.0725951,0.3526913,-0.1571320
MsgID.LOCAL_VELOCITY,284.2980000,0.0000067,-0.0000006,0.0000193
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924805,0.1130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,284.5480000,0.0103537,0.2733621,-0.1138627
MsgID.LOCAL_VELOCITY,284.5480000,0.0000198,0.0000002,0.0000168
MsgID.GLOBAL_POSITION,0.0000000,-122.3974482,37.7924790,0.0660000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,284.7980000,-0.1591883,0.4456578,-0.0665119
MsgID.LOCAL_VELOCITY,284.7980000,-0.0000079,-0.0000052,0.0000155
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924782,0.0200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,285.0490000,-0.2412873,0.3439736,-0.0202299
MsgID.LOCAL_VELOCITY,285.0490000,-0.0000075,-0.0000080,0.0000225
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924800,-0.0180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,285.2980000,-0.0513739,0.4313579,0.0183297
MsgID.LOCAL_VELOCITY,285.2980000,0.0000278,0.0000135,0.0000180
MsgID.GLOBAL_POSITION,0.0000000,-122.3974470,37.7924803,-0.0440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,285.5480000,-0.0166731,0.5523095,0.0440235
MsgID.LOCAL_VELOCITY,285.5480000,0.0000116,-0.0000015,0.0000180
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924781,-0.0600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,285.7980000,-0.2532628,0.3021895,0.0600738
MsgID.LOCAL_VELOCITY,285.7980000,0.0000184,0.0000141,0.0000204
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924779,-0.0690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,286.0490000,-0.2811783,0.4223010,0.0692457
MsgID.LOCAL_VELOCITY,286.0490000,0.0000022,-0.0000311,0.0000198
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974469,37.7924785,-0.0740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,286.2990000,-0.2178033,0.5637618,0.0741759
MsgID.LOCAL_VELOCITY,286.2990000,0.0000083,-0.0000005,0.0000150
MsgID.GLOBAL_POSITION,0.0000000,-122.3974469,37.7924788,-0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,286.5490000,-0.1759343,0.5668296,0.0768505
MsgID.LOCAL_VELOCITY,286.5490000,0.0000050,-0.0000191,0.0000203
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924791,-0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,286.8000000,-0.1458197,0.4264283,0.0783809
MsgID.LOCAL_VELOCITY,286.8000000,0.0000101,0.0000029,0.0000187
MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924795,-0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.2000000
MsgID.LOCAL_POSITION,287.0500000,-0.1066077,0.3775023,0.0766016
MsgID.LOCAL_VELOCITY,287.0500000,0.0000034,-0.0000320,-0.2131365
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924799,0.2590000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-1.5300000
